subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date
Glacier	glacier	ENVO:00000133	glacier	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An ice mass which is of sufficient mass that the action of gravity upon it overcomes the frictional forces holding it in	2026-05-01
Grassland	grassland	ENVO:01001206	grassland ecosystem	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	An ecosystem in which grasses (Graminae) are the dominant form of vegetation and determine the system's structure and dy	2026-05-01
Green-algae	green algae	FOODON:03412502	green algae	FOODON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Greenhouse	greenhouse	ENVO:03600087	greenhouse	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A human construction which provides regulated climatic conditions for the growth of plants and whose walls and roof are 	2026-05-01
Groundwater	groundwater	ENVO:01001004	groundwater	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The definition of aquifer is quite permissive, referencing any water bearing rock or unconsolidated material.	2026-05-01
Grove-Orchard	grove orchard	ENVO:00000115	orchard	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='orchard'	2026-05-01
Hand	hand	UBERON:0002398	manus	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	manual_review	bacdive	fix: was ENVO:03501212 (handrail)	2026-05-02
Head	head	UBERON:0000033	head	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The head is the anterior-most division of the body [GO].	2026-05-01
Heart	heart	UBERON:0000948	heart	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac musc	2026-05-01
Heart-valve	heart valve	UBERON:0000946	cardiac valve	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	manual	bacdive	manual override: original auto-mapping went to GO BP (heart valve morphogenesis); replaced with UBERON anatomical	2026-05-02
Heated-Burned	heated burned								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Heavy-metal	heavy metal	CHEBI:25555	monoatomic ion	CHEBI	skos:closeMatch	medium	semapv:ManualMappingCuration	codex_review_fix_v2	bacdive	fix(codex-v2): was MONDO:0023305 (heavy metal poisoning); chemical class is the right scope	2026-05-02
Herbaceous-plants-Grass,Crops	herbaceous plants grass crops								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Host	host							codex_review_fix_v2	bacdive	fix(codex-v2): was MONDO:0013730 (GVHD); 'host' as isolation source is too generic — actual host taxa belong in NCBITaxon	2026-05-02
Host-Body-Product	host body product	PRIDE:0000686	host body product	PRIDE	skos:exactMatch	high	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='host body product'	2026-05-01
Host-Body-Site	host body site	PRIDE:0000685	host body site	PRIDE	skos:exactMatch	high	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='host body site'	2026-05-01
Hot	hot	ENVO:01000305	high temperature environment	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(family-mismatch): was ENVO:00000051 'hot spring' (a specific landform); 'Hot' as a sample-context isolation source means a high-temperature environment generally; kg-review-promote: 'Hot' isolation source = high temperature environment	2026-05-02
House	house	ENVO:01000417	house	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The provisioning of a dwelling-place can perhaps be modelled as a role.	2026-05-01
Human	human							family_mismatch_fix	bacdive	fix(family-mismatch): was ENVO:00000070 (human construction, an environmental feature); 'Human' as isolation source means host, not a building. Use NCBITaxon:9606 at runtime if needed	2026-05-02
Humid	humid	NCIT:C88206	Humidity	NCIT	skos:closeMatch	medium	semapv:ManualMappingCuration	manual_review	bacdive	fix: was ENVO:09200015 (humidity of soil); too specific	2026-05-02
Hydrothermal-vent	hydrothermal vent	ENVO:00000215	hydrothermal vent	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A fissure in the Earths's surface from which geothermally heated water issues.	2026-05-01
Ice	ice	ENVO:01001125	ice	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An ice is an environmental material which is either frozen or which is maintained in a solid state by gravitational forc	2026-05-01
Immunocompromised	immunocompromised							kg_review_lit_check	bacdive	lit-audit: was NCIT:C14139; describes host state, not a sample source	2026-05-02
In-situ	in situ							kg_review_lit_check	bacdive	lit-audit: was NCIT:C14160 (medical 'carcinoma in situ' locality); 'In situ' is a method qualifier, not a habitat	2026-05-02
Indoor	indoor	ENVO:01000856	indoor environment	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(family-mismatch): was ENVO:01000425 ('indoor toilet'); 'Indoor' generic → indoor environment; kg-review-promote: 'Indoor' isolation source = indoor environment	2026-05-02
Indoor-Air	indoor air	ENVO:01000855	indoor air	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	codex_review_fix	bacdive	fix(codex): was non-CURIE 'Indoor-Air'; ENVO has indoor air	2026-05-02
Industrial	industrial							family_mismatch_fix	bacdive	fix(family-mismatch): was ENVO:00002267 ('industrial waste material'); generic 'Industrial' is too underspecified to map cleanly	2026-05-02
Industrial-production	industrial production							codex_review_fix	bacdive	fix(codex): non-CURIE 'Industrial-production' from OLS GOLD result; unmapped	2026-05-02
Industrial-waste	industrial waste	ENVO:00002267	industrial waste material	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_lit_check	bacdive	lit-audit: was NCIT:C577; ENVO consistency with Industrial-wastewater→ENVO:01000964	2026-05-02
Industrial-wastewater	industrial wastewater	ENVO:01000964	industrial wastewater	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Wastewater which is produced by industrial activity and which contains chemical contaminants other than those associated	2026-05-01
Infection	infection							family_mismatch_fix	bacdive	fix(family-mismatch): was ENVO:01000170 (plant root-nodule infection zone); generic 'Infection' as isolation source has no ontology term in scope	2026-05-02
Inflammation	inflammation	mesh:D007249	Inflammation	mesh	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_lit_check	bacdive	lit-audit: was NCIT:C3137; mesh consistency with Abscess→mesh:D000038 pattern for clinical-state isolation sources	2026-05-02
Insecta	insecta	NCBITaxon:50557	Insecta	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Intracellular	intracellular	GO:0005622	intracellular anatomical structure	GO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	manual override: original auto-mapping went to GO BP (process); replaced with GO CC; kg-review-promote: 'Intracellular' isolation context = intracellular anatomical structure	2026-05-02
Invertebrates-Other	invertebrates other	NCIT:C17649	Other	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='other'	2026-05-01
Iron-mat	iron mat	ENVO:01000110	microbial mat	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(codex-v2): was MONDO:0017988 (multifocal atrial tachycardia, matched on 'MAT' abbrev); iron-mat is a microbial mat type; kg-review-promote: iron-mat is a type of microbial mat; 'iron' modifier doesn't change the substrate semantic	2026-05-02
Joint	joint	UBERON:0004905	articulation	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	fix(family-mismatch): was UBERON:0008114 'joint of girdle' (too specific — only girdle-region joints); UBERON:0004905 'articulation' is the generic skeletal-joint term (synonym 'joint')	2026-05-02
Juice-natural	juice natural	NCIT:C85060	Natural	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='natural'	2026-05-01
Juvenile	juvenile	PATO:0001190	juvenile	PATO	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	METPO:2000067 isolated from host with quality. Restored after 2026-05-05 audit: PATO:0001190 'juvenile' is the canonical life-stage quality term for the host (same target as the related 'Child' label). The BacDive transform emits <organism> METPO:2000067 PATO:0001190.	2026-05-05
Kidney	kidney	UBERON:0002113	kidney	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A paired organ of the urinary tract that produces urine and maintains bodily fluid homeostasis, blood pressure, pH level	2026-05-01
Lab-enrichment	lab enrichment							codex_review_fix	bacdive	fix(codex): non-CURIE 'Lab-enrichment' from OLS GOLD result; unmapped	2026-05-02
Lab-synthesis	lab synthesis							codex_review_fix	bacdive	fix(codex): non-CURIE 'Lab-synthesis' from OLS GOLD result; unmapped	2026-05-02
Laboratory	laboratory	ENVO:01001406	laboratory facility	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A research facility in which systems of manufactured products control internal conditions and in which scientific or tec	2026-05-01
Lake-large	lake large	ENVO:00000020	lake	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix: was PATO:0000586 (increased size); 'large' modifier dropped; kg-review-promote: 'Lake-large' = lake; the 'large' modifier is dropped	2026-05-02
Landfill	landfill	ENVO:00000533	landfill	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A depression which contains objects and materials discarded by humans or their technologies.	2026-05-01
Large-intestine	large intestine	UBERON:0000059	large intestine	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A subdivision of the digestive tract that connects the small intestine to the cloaca or anus. Lacks or has few villi[Kar	2026-05-01
Leaf-Phyllosphere	leaf phyllosphere							codex_review_fix	bacdive	fix(codex): non-CURIE 'Phyllosphere' from OLS GOLD result; unmapped (see also Phylloplane→PO:0006016)	2026-05-02
Leg	leg	UBERON:0000978	leg	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	we use the less open to misinterpretation 'hindlimb zeugopod'. Editor note: currently declared as overlapping foot, as A	2026-05-01
Leporidae-Rabbit/Hare	leporidae rabbit/hare	NCBITaxon:9979	Leporidae	NCBITaxon	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Lesion-incl.-Necrosis	lesion incl. necrosis	NCIT:C3824	Lesion	NCIT	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix: was GO:0001906 (cell killing process); kg-review-promote: BacDive's compound label resolves to 'Lesion' as the core concept	2026-05-02
Lichen	lichen	FOODON:03412345	lichen	FOODON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A composite organism that arises from algae or cyanobacteria living among filaments of multiple fungi species in a mutua	2026-05-01
Limb	limb	UBERON:0002101	limb	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A paired appendage that is evolved from a paired fin. The extent of this structure includes autopod, stylopod and zeugop	2026-05-01
Liver	liver	UBERON:0002107	liver	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes subst	2026-05-01
Livestock-Husbandry	livestock husbandry								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Lung	lung	UBERON:0002048	lung	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Respiration organ that develops as an outpocketing of the esophagus.	2026-05-01
Lymph-node	lymph node	UBERON:0000029	lymph node	UBERON	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_lit_check	bacdive	lit-audit: was NCIT:C12745; UBERON canonical anatomy	2026-05-02
Machines-and-devices	machines and devices							family_mismatch_fix	bacdive	fix(family-mismatch): was NCIT:C171225 ('Dependence on Enabling Machines and Devices...'); a medical-condition code, not a substrate. Unmapped	2026-05-02
Male	male	PATO:0000384	male	PATO	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	METPO:2000067 isolated from host with quality. Restored after 2026-05-05 audit: PATO:0000384 'male' is the canonical biological-sex quality term for the host. The BacDive transform emits <organism> METPO:2000067 PATO:0000384.	2026-05-05
Mammals	mammals	NCBITaxon:40674	Mammalia	NCBITaxon	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	fix(family-mismatch): was NCBITaxon:32525 (Theria, a subgroup of mammals); should be Mammalia	2026-05-02
Mammary-gland	mammary gland	UBERON:0001911	mammary gland	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A specialized accessory gland of the skin of mammals that secretes milk. The gland is typically only developed in female	2026-05-01
Mangrove	mangrove	ENVO:01000181	mangrove biome	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	fix(family-mismatch): was ENVO:02000138 'mangrove biome soil' (only the soil component); ENVO:01000181 is the generic biome covering water/sediment/canopy samples	2026-05-02
Marine	marine	ENVO:00001999	marine water body	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A lentic water body which is composed primarily of marine water.	2026-05-01
Meadow	meadow	ENVO:00000108	meadow ecosystem	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	Typically, meadows have higher botanical biodiversity than other grasslands.	2026-05-01
Meat	meat	FOODON:00001027	meat food product	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(family-mismatch): was ENVO:03501297 ('meat processing plant', a facility); 'Meat' as substrate → FOODON meat food product; kg-review-promote: 'Meat' isolation source = meat food product	2026-05-02
Medical-device	medical device							family_mismatch_fix	bacdive	post-codex-#558: was NCIT:C16830 (a device, not a sample substrate); the swab/catheter is the collection tool, not the source	2026-05-02
Medical-environment	medical environment							manual_review	bacdive	unmapped: was ENVO:01000254 (environmental system, generic); no clean medical-environment term	2026-05-02
Medical-practice	medical practice							codex_review_fix	bacdive	fix(codex): bare 'D011214' lacked prefix; unmapped	2026-05-02
Medical-product	medical product							family_mismatch_fix	bacdive	fix(family-mismatch): was NCIT:C54693 ('Medical Product Document'); a document type, not a substrate. Unmapped	2026-05-02
Meningitis	meningitis							codex_review_fix_v2	bacdive	fix(codex-v2): was MONDO:0021108 (disease); meningitis context isn't the isolation source — actual sources are CSF/meninges samples	2026-05-02
Microbial	microbial							family_mismatch_fix	bacdive	fix(family-mismatch): was ENVO:01000008 ('microbial mat', a specific structure); generic 'Microbial' adjective is unmappable at this granularity	2026-05-02
Microbial-community	microbial community	PCO:1000004	microbial community	PCO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An ecological community which is composed of co-existing populations of microbial organisms that interact, directly or i	2026-05-01
Microbial-mat	microbial mat	ENVO:01000008	microbial mat	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats grow at interfaces between differe	2026-05-01
Milk	milk	UBERON:0001913	milk	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An emulsion of fat globules within a fluid that is secreted by the mammary gland during lactation.	2026-05-01
Mine	mine	ENVO:00000076	mine	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An excavation in the Earth for the purpose of extracting earth materials.	2026-05-01
Mollusca	mollusca	NCBITaxon:6447	Mollusca	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Moss	moss	ENVO:01000890	area of moss-dominated vegetation	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	According to the NLCD 2011, at least 80% of these areas are covered by mosses.  Such thresholds - which are themselves f	2026-05-01
Mouth	mouth	UBERON:0000165	mouth	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening. In vertebrates,	2026-05-01
Mucus	mucus	UBERON:0000912	mucus	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Mucus is a bodily fluid consisting of a slippery secretion of the lining of the mucous membranes in the body. It is a vi	2026-05-01
Mud-Sludge	mud sludge	ENVO:00002044	sludge	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='sludge'	2026-05-01
Muridae-Mouse/Rat	muridae mouse/rat	NCBITaxon:10114	Rattus	NCBITaxon	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='rat'	2026-05-01
Mushroom	mushroom	FOODON:03411260	mushroom	FOODON	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	fix(family-mismatch): was ENVO:00003033 ('mushroom compost', a substrate-of-mushroom); 'Mushroom' as host/substrate → FOODON mushroom	2026-05-02
Mycorrhiza	mycorrhiza	FAO:0001027	mycorrhiza	FAO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A composite structure formed by the symbiotic association of the mycelium of a fungus with the roots of a seed plant.	2026-05-01
Mycosis	mycosis							codex_review_fix_v2	bacdive	fix(codex-v2): was MONDO:0009691 (mycosis fungoides, a specific disease); generic mycosis has no clean ontology term	2026-05-02
Nectar	nectar	CHEBI:50292	nectar	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	fix(family-mismatch): was FOODON:03301107 ('nectarine (raw)'); 'Nectar' is plant-secreted fluid, not the fruit	2026-05-02
Nematoda	nematoda	NCBITaxon:6231	Nematoda	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Nephridium	nephridium	UBERON:0006972	nephridium	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An exceretory tubule that usually opens to the exterior by a nephridiopore. The inner end of the tubule may be blind, en	2026-05-01
Non-marine-Saline-and-Alkaline	non marine saline and alkaline	PATO:0001430	alkaline	PATO	skos:closeMatch	medium	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	METPO:2000068 isolated from environment with quality. Partial mapping — PATO:0001430 'alkaline' captures only the alkaline component of the saline+alkaline+non-marine label. closeMatch (not exact) reflects that the saline and non-marine aspects are not preserved. The BacDive transform emits <organism> METPO:2000068 PATO:0001430. A future ENVO refinement (e.g. an 'alkaline saline non-marine environment' class) would supersede this row.	2026-05-05
Nose	nose	UBERON:0000004	nose	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework o	2026-05-01
Oil-Food	oil food	FOODON:00001087	vegetable oil food product	FOODON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A lipid material derived from plants. Physically, oils are liquid at room temperature.	2026-05-01
Oil-Fuel	oil fuel	CHEBI:33292	fuel	CHEBI	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='fuel'	2026-05-01
Oil-reservoir	oil reservoir	ENVO:00002185	oil reservoir	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A subsurface landform which contains fluid hydrocarbons in porous or fractured rock formations.	2026-05-01
Oral-cavity-and-airways	oral cavity and airways	UBERON:0001005	respiratory airway	UBERON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='airways'	2026-05-01
Organ	organ	UBERON:0000062	organ	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Anatomical structure that performs a specific function or group of functions [WP].	2026-05-01
Other	other							manual	bacdive	manual override: 'Other' is a placeholder, not a real isolation source — unmapped	2026-05-01
Outdoor-Air	outdoor air	ENVO:01000829	outdoor air	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	codex_review_fix	bacdive	fix(codex): was non-CURIE 'Outdoor-Air'; ENVO has outdoor air	2026-05-02
Ovary	ovary	UBERON:0000992	ovary	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The gonad of a female organism which contains germ cells.	2026-05-01
Paddy-Ricefield	paddy ricefield								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Painting	painting							family_mismatch_fix	bacdive	fix(family-mismatch): was NCIT:C126190 ('House Painting Ability Question'); a clinical assessment item, not a substrate. Unmapped	2026-05-02
Parasite	parasite	NCIT:C28176	Parasite	NCIT	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Any organism that has a close, symbiotic relationship with a separate, host organism.	2026-05-01
Patient	patient							family_mismatch_fix	bacdive	fix(family-mismatch): was ENVO:03501180 ('patient room'); 'Patient' refers to the human host, not a room. Unmapped	2026-05-02
Peat-moss	peat moss	mesh:D044003	Sphagnopsida	mesh	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(codex): was non-CURIE 'Peat-moss'; peat moss = Sphagnopsida; kg-review-promote: 'peat moss' = Sphagnopsida (the moss class that forms peat)	2026-05-02
Periodontal-pocket	periodontal pocket	mesh:D010520	Periodontal Pocket	mesh	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_lit_check	bacdive	lit-audit: was NCIT:C62547 (pathological condition); UBERON has no entry; mesh is the canonical isolation-site for this	2026-05-02
Permafrost	permafrost	ENVO:00000134	permafrost	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An environmental material which is 1) composed primarily of soil or rock and included ice or organic material and 2) at 	2026-05-01
Pesticide	pesticide	CHEBI:25944	pesticide	CHEBI	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Phlegm	phlegm	UBERON:0016552	phlegm	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Mucus produced in the respiratory tract.	2026-05-01
Phylloplane	phylloplane	PO:0006016	leaf epidermis	PO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	phylloplane = ecological niche on leaf surface; mapped to anatomical PO:leaf epidermis; kg-review-promote: phylloplane = leaf epidermis (the leaf surface microbial habitat)	2026-05-02
Plant	plant	NCBITaxon:33090	Viridiplantae	NCBITaxon	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(family-mismatch): was ENVO:01001255 ('plant aquaculture process', a process); 'Plant' as host → Viridiplantae taxon; kg-review-promote: 'Plant' as host group = Viridiplantae (kingdom-level taxon used as host group in BacDive)	2026-05-02
Plant-exudate-Resin	plant exudate resin	ENVO:03510018	resin	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	matched via variant='resin'	2026-05-01
Plant-Factory	plant factory	ENVO:01000536	factory	ENVO	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A factory (previously manufactory) or manufacturing plant is an industrial site, usually consisting of buildings and mac	2026-05-01
Plant-infections	plant infections							manual_review	bacdive	unmapped: was mesh:D007239 (generic Infections); needs MONDO plant-disease term	2026-05-02
Plant-litter-Forest	plant litter forest	ENVO:01000628	plant litter	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix: was ENVO:00000111 (forested area); plant-litter is the substrate; kg-review-promote: 'Plant-litter-Forest' = plant litter; 'Forest' is context, not substrate	2026-05-02
Plant-sap-Flux	plant sap flux	PO:0025538	plant sap	PO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix: was PATO:0001030 (flux); plant-sap is the substrate; kg-review-promote: 'Plant-sap-Flux' = plant sap; 'Flux' is collection method	2026-05-02
Plantation	plantation	ENVO:00000117	plantation	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	An intentional planting of a crop, on a large scale, usually for uses other than cereal production or pasture. The term 	2026-05-01
Plants	plants	NCBITaxon:33090	Viridiplantae	NCBITaxon	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix(family-mismatch): was FOODON:03540360 ('lettuces and salad plants', a narrow subgroup); 'Plants' as host group → Viridiplantae; kg-review-promote: 'Plants' = Viridiplantae (host group)	2026-05-02
Plaque	plaque	UBERON:0016482	dental plaque	UBERON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A soft, thin film of food debris, mucin, and dead epithelial cells deposited on the teeth, providing the medium for the 	2026-05-01
Pleural-fluid	pleural fluid	UBERON:0001087	pleural fluid	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Transudate contained in the pleural cavity.	2026-05-01
Polar	polar	ENVO:01000238	polar	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	On Earth, polar conditions are such that every month has average temperature lower than 10 degrees Celsius. Note that  t	2026-05-01
Pond-small	pond small	ENVO:00000033	pond	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix: was PATO:0000587 (decreased size); kg-review-promote: 'Pond-small' = pond; 'small' modifier dropped	2026-05-02
Porifera-Sponges	porifera sponges	NCBITaxon:6040	Porifera	NCBITaxon	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Post-mortem	post mortem								bacdive	UNMAPPED — no OLS match in ENVO/UBERON/FOODON/MONDO/NCIT	2026-05-01
Preserved	preserved	FOODON:00002158	food (preserved)	FOODON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	Food material which is the output of a food preservation process.	2026-05-01
Primates	primates	NCBITaxon:9443	Primates	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive		2026-05-01
Protist	protist	NCIT:C77914	Protista	NCIT	skos:closeMatch	medium	semapv:LexicalMatching	ols4_auto	bacdive	A taxonomic kingdom that includes algae, protozoa, slime molds, and water molds. Members of kingdom protista are aerobic	2026-05-01
Protozoa	protozoa	NCIT:C77916	Protozoa	NCIT	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	Unicellular heterotrophic eukaryote in the kingdom protista.	2026-05-01
Psychrophilic-<10°C	psychrophilic <10°c	ENVO:01000309	cold environment	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	fix(family-mismatch): was METPO:1000614 ('psychrophilic') — METPO is the *organism trait*, not the isolation-source environment. BacDive 'Psychrophilic-<10°C' is a categorical thermal-regime label for the environment the microbe was sampled from; ENVO:01000309 'cold environment' is the equivalent isolation-source concept (the <10°C threshold is the bin definition, not a different concept).	2026-05-05
Rectum	rectum	UBERON:0001052	rectum	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The terminal portion of the intestinal tube, terminating with the anus.	2026-05-01
Red-algae	red algae	FOODON:03411743	red algae	FOODON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	One of the oldest groups of eukaryotic algae, and one of the largest phyla of algae, containing over 7,000 currently rec	2026-05-01
Reptilia	reptilia	NCBITaxon:8504	Lepidosauria	NCBITaxon	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_promote	bacdive	fix: was NCIT:C158048 (Reptilian Glycan); use NCBITaxon class instead. Note: Reptilia ↔ Lepidosauria depending on classification; kg-review-promote: BacDive 'Reptilia' is closest to Lepidosauria (lizards+snakes, the dominant reptile group)	2026-05-02
Rhizoplane	rhizoplane	ENVO:01001181	rhizoplane	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	A surface layer which is composed of the external surface of a root, together with closely adhering soil particles and d	2026-05-01
Rhizosphere	rhizosphere	ENVO:00005801	rhizosphere	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	The narrow region of soil that is directly influenced by root secretions and associated soil microorganisms.	2026-05-01
